Valuation Date,Account ID (FA),Account ID (Custody),Account Name (Short),Security Number (Full),Security Description (Short),FA Asset Group,Shares/Par,Price (Base),Price (Local),Mid Value (Local),Market Value Traded (Base),Market Value Traded (Local),Market Value Offer (Base),Market Value Settled (Base),Cost (Basis),Cost (Local),Accrued Net Income (Base),Accrued Net Income (Local),Accrued Gross Withholding (Basis),Amortization (Base),Amortization (Local),Unrealized Exchange Gain/Loss Total (Base),Unrealized Gain/Loss Total (Local),Unrealized Exchange Gain/Loss on Amortization,Prior Cancellation Amount (Base),Net Assets (Base),Creation Price,Prior Participant Equity (Base),Shareholder Equity (Base)
Valuation Date,Account ID (FA),Account ID (Custody),Account Name (Short),Security Number (Full),Security Description (Short),FA Asset Group,Shares/Par,Price (Base),Price (Local),Mid Value (Local),Market Value Traded (Base),Market Value Traded (Local),Market Value Offer (Base),Market Value Settled (Base),Cost (Basis),Cost (Local),Accrued Net Income (Base),Accrued Net Income (Local),Accrued Gross Withholding (Basis),Amortization (Base),,,,,,,,,
Security Description (Short),FA Asset Group,Shares/Par,Price (Base),Price (Local),Mid Value (Local),Market Value Traded (Base),Market Value Traded (Local),Market Value Offer (Base),Market Value Settled (Base),Cost (Basis),Cost (Local),Accrued Net Income (Base),Accrued Net Income (Local),Accrued Gross Withholding (Basis),Amortization (Base),,,,,,,,,,,,,,
Security Description (Short),FA Asset Group,Shares/Par,Price (Base),Price (Local),Mid Value (Local),Market Value Traded (Base),Market Value Traded (Local),Market Value Offer (Base),Market Value Settled (Base),Cost (Basis),Cost (Local),Accrued Net Income (Base),Accrued Net Income (Local),Accrued Gross Withholding (Basis),Amortization (Base),Amortization (Local),Unrealized Exchange Gain/Loss Total (Base),Unrealized Gain/Loss Total (Local),Unrealized Exchange Gain/Loss on Amortization,,,,,,,,,,
